,Age group,Vax status,Population,Cases,Hospitalizations,Deaths
0,0-11,Vax,0.0,0.0,0.0,0.0
1,12-17,Vax,208491.125,338.10476962755234,0.46732889594666127,0.0
2,18-24,Vax,268120.37,355.6,1.5,0.0
3,25-34,Vax,401001.102,568.8,4.0,0.0
4,35-44,Vax,440680.35,728.4,3.4,0.0
5,45-54,Vax,452012.088,593.8,6.2,0.4
6,55-64,Vax,590926.924,531.4,14.4,1.0
7,65+,Vax,848380.6620000001,501.5,47.3,9.2
8,Total,Vax,3208161.134,537.1,17.1,2.7
9,0-11,Unvax,822642.0,1365.1,6.0,0.0
10,12-17,Unvax,235463.875,2834.0104785394915,15.860233582232434,0.0
11,18-24,Unvax,277949.63,1718.3,15.5,0.0
12,25-34,Unvax,340220.898,2221.3,37.3,3.5
13,35-44,Unvax,272394.65,2836.4,59.5,5.1
14,45-54,Unvax,263196.912,2215.6,97.2,17.5
15,55-64,Unvax,232091.07600000003,2191.8,155.6,22.8
16,65+,Unvax,168862.33799999993,2706.6,472.5,119.5
17,Total,Unvax,2614272.866,2045.3,70.2,12.5
