Day of Epi Dt,Measure Names,7 Day Average (conf+prob) (TT),7 Day Average (conf+prob),7 Day Average (conf+prob),Prelim end date,Prelim start date,7 Day Average (TT Text),County Parameter Cum Curve,Max. Window Max Daily Cases,Measure Values,Confirmed Cases By Epi Dt,Probable By Epi Dt,Stacked Confirm + Probable cases
21-Jan-21,Probable cases,1049,1049,,1/22/2021,1/8/2021,confirmed plus probable cases,Wisconsin,9605,58,108,58,166
20-Jan-21,Probable cases,1293,1293,,1/21/2021,1/7/2021,confirmed plus probable cases,Wisconsin,9605,114,568,114,682
19-Jan-21,Probable cases,1510,1510,,1/20/2021,1/6/2021,confirmed plus probable cases,Wisconsin,9605,255,1086,255,1341
18-Jan-21,Probable cases,1649,1649,,1/19/2021,1/5/2021,confirmed plus probable cases,Wisconsin,9605,248,1196,248,1444
17-Jan-21,Probable cases,1912,1912,,1/18/2021,1/4/2021,confirmed plus probable cases,Wisconsin,9605,160,753,160,913
16-Jan-21,Probable cases,2014,2014,,1/17/2021,1/3/2021,confirmed plus probable cases,Wisconsin,9605,194,970,194,1164
15-Jan-21,Probable cases,2120,2120,,1/16/2021,1/2/2021,confirmed plus probable cases,Wisconsin,9605,299,1339,299,1638
14-Jan-21,Probable cases,2243,2243,,1/15/2021,1/1/2021,confirmed plus probable cases,Wisconsin,9605,331,1542,331,1873
13-Jan-21,Probable cases,2347,2347,,1/14/2021,12/31/2020,confirmed plus probable cases,Wisconsin,9605,383,1814,383,2197
12-Jan-21,Probable cases,2461,2461,,1/13/2021,12/30/2020,confirmed plus probable cases,Wisconsin,9605,384,1932,384,2316
11-Jan-21,Probable cases,2624,2624,,1/12/2021,12/29/2020,confirmed plus probable cases,Wisconsin,9605,559,2727,559,3286
10-Jan-21,Probable cases,2761,2761,,1/11/2021,12/28/2020,confirmed plus probable cases,Wisconsin,9605,260,1370,260,1630
9-Jan-21,Probable cases,2879,2879,,1/10/2021,12/27/2020,confirmed plus probable cases,Wisconsin,9605,278,1628,278,1906
8-Jan-21,Probable cases,2998,2998,,1/9/2021,12/26/2020,confirmed plus probable cases,Wisconsin,9605,375,2124,375,2499
7-Jan-21,Probable cases,2927,2927,,1/8/2021,12/25/2020,confirmed plus probable cases,Wisconsin,9605,460,2140,460,2600
6-Jan-21,Probable cases,2938,2938,,1/7/2021,12/24/2020,confirmed plus probable cases,Wisconsin,9605,482,2512,482,2994
5-Jan-21,Probable cases,2948,2948,,1/6/2021,12/23/2020,confirmed plus probable cases,Wisconsin,9605,592,2864,592,3456
4-Jan-21,Probable cases,2924,2924,,1/5/2021,12/22/2020,confirmed plus probable cases,Wisconsin,9605,671,3572,671,4243
3-Jan-21,Probable cases,2890,2890,,1/4/2021,12/21/2020,confirmed plus probable cases,Wisconsin,9605,407,2050,407,2457
2-Jan-21,Probable cases,2868,2868,,1/3/2021,12/20/2020,confirmed plus probable cases,Wisconsin,9605,340,2403,340,2743
1-Jan-21,Probable cases,2829,2829,,1/2/2021,12/19/2020,confirmed plus probable cases,Wisconsin,9605,309,1693,309,2002
31-Dec-20,Probable cases,2755,2755,,1/1/2021,12/18/2020,confirmed plus probable cases,Wisconsin,9605,371,2303,371,2674
30-Dec-20,Probable cases,2634,2634,,12/31/2020,12/17/2020,confirmed plus probable cases,Wisconsin,9605,343,2724,343,3067
29-Dec-20,Probable cases,2582,2582,,12/30/2020,12/16/2020,confirmed plus probable cases,Wisconsin,9605,371,2912,371,3283
28-Dec-20,Probable cases,2500,2500,,12/29/2020,12/15/2020,confirmed plus probable cases,Wisconsin,9605,462,3547,462,4009
27-Dec-20,Probable cases,2402,2402,,12/28/2020,12/14/2020,confirmed plus probable cases,Wisconsin,9605,288,2011,288,2299
26-Dec-20,Probable cases,2332,2332,,12/27/2020,12/13/2020,confirmed plus probable cases,Wisconsin,9605,273,2198,273,2471
25-Dec-20,Probable cases,2269,2269,,12/26/2020,12/12/2020,confirmed plus probable cases,Wisconsin,9605,149,1336,149,1485
24-Dec-20,Probable cases,2440,2440,,12/25/2020,12/11/2020,confirmed plus probable cases,Wisconsin,9605,227,1599,227,1826
23-Dec-20,Probable cases,2591,2591,,12/24/2020,12/10/2020,confirmed plus probable cases,Wisconsin,9605,364,2339,364,2703
22-Dec-20,Probable cases,2632,2632,,12/23/2020,12/9/2020,confirmed plus probable cases,Wisconsin,9605,339,2372,339,2711
21-Dec-20,Probable cases,2728,2728,,12/22/2020,12/8/2020,confirmed plus probable cases,Wisconsin,9605,474,2851,474,3325
20-Dec-20,Probable cases,2824,2824,,12/21/2020,12/7/2020,confirmed plus probable cases,Wisconsin,9605,249,1555,249,1804
19-Dec-20,Probable cases,2885,2885,,12/20/2020,12/6/2020,confirmed plus probable cases,Wisconsin,9605,280,1754,280,2034
18-Dec-20,Probable cases,2969,2969,,12/19/2020,12/5/2020,confirmed plus probable cases,Wisconsin,9605,397,2283,397,2680
17-Dec-20,Probable cases,3085,3085,,12/18/2020,12/4/2020,confirmed plus probable cases,Wisconsin,9605,474,2407,474,2881
16-Dec-20,Probable cases,3143,3143,,12/17/2020,12/3/2020,confirmed plus probable cases,Wisconsin,9605,475,2519,475,2994
