Day of Epi Dt,Measure Names,7 Day Average (conf+prob) (TT),7 Day Average (conf+prob),7 Day Average (conf+prob),Prelim end date,Prelim start date,7 Day Average (TT Text),County Parameter Cum Curve,Max. Window Max Daily Cases,Measure Values,Confirmed Cases By Epi Dt,Probable By Epi Dt,Stacked Confirm + Probable cases
7-Jan-21,Probable cases,1723,1723,,1/8/2021,12/25/2020,confirmed plus probable cases,Wisconsin,9615,136,121,136,257
6-Jan-21,Probable cases,2014,2014,,1/7/2021,12/24/2020,confirmed plus probable cases,Wisconsin,9615,321,939,321,1260
5-Jan-21,Probable cases,2229,2229,,1/6/2021,12/23/2020,confirmed plus probable cases,Wisconsin,9615,425,1695,425,2120
4-Jan-21,Probable cases,2351,2351,,1/5/2021,12/22/2020,confirmed plus probable cases,Wisconsin,9615,527,2588,527,3115
3-Jan-21,Probable cases,2443,2443,,1/4/2021,12/21/2020,confirmed plus probable cases,Wisconsin,9615,283,1420,283,1703
2-Jan-21,Probable cases,2509,2509,,1/3/2021,12/20/2020,confirmed plus probable cases,Wisconsin,9615,265,1895,265,2160
1-Jan-21,Probable cases,2537,2537,,1/2/2021,12/19/2020,confirmed plus probable cases,Wisconsin,9615,246,1201,246,1447
31-Dec-20,Probable cases,2531,2531,,1/1/2021,12/18/2020,confirmed plus probable cases,Wisconsin,9615,322,1974,322,2296
30-Dec-20,Probable cases,2455,2455,,12/31/2020,12/17/2020,confirmed plus probable cases,Wisconsin,9615,334,2431,334,2765
29-Dec-20,Probable cases,2438,2438,,12/30/2020,12/16/2020,confirmed plus probable cases,Wisconsin,9615,332,2645,332,2977
28-Dec-20,Probable cases,2394,2394,,12/29/2020,12/15/2020,confirmed plus probable cases,Wisconsin,9615,441,3313,441,3754
27-Dec-20,Probable cases,2331,2331,,12/28/2020,12/14/2020,confirmed plus probable cases,Wisconsin,9615,270,1898,270,2168
26-Dec-20,Probable cases,2277,2277,,12/27/2020,12/13/2020,confirmed plus probable cases,Wisconsin,9615,262,2091,262,2353
25-Dec-20,Probable cases,2230,2230,,12/26/2020,12/12/2020,confirmed plus probable cases,Wisconsin,9615,147,1261,147,1408
24-Dec-20,Probable cases,2410,2410,,12/25/2020,12/11/2020,confirmed plus probable cases,Wisconsin,9615,214,1550,214,1764
23-Dec-20,Probable cases,2569,2569,,12/24/2020,12/10/2020,confirmed plus probable cases,Wisconsin,9615,352,2292,352,2644
22-Dec-20,Probable cases,2618,2618,,12/23/2020,12/9/2020,confirmed plus probable cases,Wisconsin,9615,332,2338,332,2670
21-Dec-20,Probable cases,2715,2715,,12/22/2020,12/8/2020,confirmed plus probable cases,Wisconsin,9615,477,2833,477,3310
20-Dec-20,Probable cases,2812,2812,,12/21/2020,12/7/2020,confirmed plus probable cases,Wisconsin,9615,246,1544,246,1790
19-Dec-20,Probable cases,2874,2874,,12/20/2020,12/6/2020,confirmed plus probable cases,Wisconsin,9615,277,1748,277,2025
18-Dec-20,Probable cases,2958,2958,,12/19/2020,12/5/2020,confirmed plus probable cases,Wisconsin,9615,400,2273,400,2673
17-Dec-20,Probable cases,3074,3074,,12/18/2020,12/4/2020,confirmed plus probable cases,Wisconsin,9615,464,2407,464,2871
16-Dec-20,Probable cases,3133,3133,,12/17/2020,12/3/2020,confirmed plus probable cases,Wisconsin,9615,469,2520,469,2989
15-Dec-20,Probable cases,3218,3218,,12/16/2020,12/2/2020,confirmed plus probable cases,Wisconsin,9615,539,2811,539,3350
14-Dec-20,Probable cases,3281,3281,,12/15/2020,12/1/2020,confirmed plus probable cases,Wisconsin,9615,656,3332,656,3988
13-Dec-20,Probable cases,3385,3385,,12/14/2020,11/30/2020,confirmed plus probable cases,Wisconsin,9615,324,1900,324,2224
12-Dec-20,Probable cases,3417,3417,,12/13/2020,11/29/2020,confirmed plus probable cases,Wisconsin,9615,319,2292,319,2611
11-Dec-20,Probable cases,3431,3431,,12/12/2020,11/28/2020,confirmed plus probable cases,Wisconsin,9615,478,3011,478,3489
10-Dec-20,Probable cases,3476,3476,,12/11/2020,11/27/2020,confirmed plus probable cases,Wisconsin,9615,476,2807,476,3283
9-Dec-20,Probable cases,3583,3583,,12/10/2020,11/26/2020,confirmed plus probable cases,Wisconsin,9615,502,3081,502,3583
8-Dec-20,Probable cases,3734,3734,,12/9/2020,11/25/2020,confirmed plus probable cases,Wisconsin,9615,506,3286,506,3792
7-Dec-20,Probable cases,3914,3914,,12/8/2020,11/24/2020,confirmed plus probable cases,Wisconsin,9615,652,4062,652,4714
6-Dec-20,Probable cases,4128,4128,,12/7/2020,11/23/2020,confirmed plus probable cases,Wisconsin,9615,295,2154,295,2449
5-Dec-20,Probable cases,4246,4246,,12/6/2020,11/22/2020,confirmed plus probable cases,Wisconsin,9615,299,2413,299,2712
4-Dec-20,Probable cases,4320,4320,,12/5/2020,11/21/2020,confirmed plus probable cases,Wisconsin,9615,518,3286,518,3804
3-Dec-20,Probable cases,4363,4363,,12/4/2020,11/20/2020,confirmed plus probable cases,Wisconsin,9615,622,3408,622,4030
2-Dec-20,Probable cases,4094,4094,,12/3/2020,11/19/2020,confirmed plus probable cases,Wisconsin,9615,637,4005,637,4642
1-Dec-20,Probable cases,4067,4067,,12/2/2020,11/18/2020,confirmed plus probable cases,Wisconsin,9615,638,4409,638,5047
30-Nov-20,Probable cases,4024,4024,,12/1/2020,11/17/2020,confirmed plus probable cases,Wisconsin,9615,710,5506,710,6216
29-Nov-20,Probable cases,3882,3882,,11/30/2020,11/16/2020,confirmed plus probable cases,Wisconsin,9615,321,2952,321,3273
28-Nov-20,Probable cases,3796,3796,,11/29/2020,11/15/2020,confirmed plus probable cases,Wisconsin,9615,264,2965,264,3229
27-Nov-20,Probable cases,3795,3795,,11/28/2020,11/14/2020,confirmed plus probable cases,Wisconsin,9615,341,3763,341,4104
