Day of Epi Dt,Measure Names,7 Day Average (conf+prob) (TT),7 Day Average (conf+prob),7 Day Average (conf+prob),Prelim end date,Prelim start date,7 Day Average (TT Text),County Parameter Cum Curve,Max. Window Max Daily Cases,Measure Values,Confirmed Cases By Epi Dt,Probable By Epi Dt,Stacked Confirm + Probable cases
26-Feb-21,Probable cases,401,401,,2/27/2021,2/13/2021,confirmed plus probable cases,Wisconsin,9574,38,75,38,113
25-Feb-21,Probable cases,476,476,,2/26/2021,2/12/2021,confirmed plus probable cases,Wisconsin,9574,68,226,68,294
24-Feb-21,Probable cases,542,542,,2/25/2021,2/11/2021,confirmed plus probable cases,Wisconsin,9574,93,344,93,437
23-Feb-21,Probable cases,592,592,,2/24/2021,2/10/2021,confirmed plus probable cases,Wisconsin,9574,109,395,109,504
22-Feb-21,Probable cases,637,637,,2/23/2021,2/9/2021,confirmed plus probable cases,Wisconsin,9574,106,574,106,680
21-Feb-21,Probable cases,660,660,,2/22/2021,2/8/2021,confirmed plus probable cases,Wisconsin,9574,54,305,54,359
20-Feb-21,Probable cases,687,687,,2/21/2021,2/7/2021,confirmed plus probable cases,Wisconsin,9574,68,352,68,420
19-Feb-21,Probable cases,706,706,,2/20/2021,2/6/2021,confirmed plus probable cases,Wisconsin,9574,117,526,117,643
18-Feb-21,Probable cases,711,711,,2/19/2021,2/5/2021,confirmed plus probable cases,Wisconsin,9574,108,647,108,755
17-Feb-21,Probable cases,702,702,,2/18/2021,2/4/2021,confirmed plus probable cases,Wisconsin,9574,116,669,116,785
16-Feb-21,Probable cases,725,725,,2/17/2021,2/3/2021,confirmed plus probable cases,Wisconsin,9574,128,692,128,820
15-Feb-21,Probable cases,741,741,,2/16/2021,2/2/2021,confirmed plus probable cases,Wisconsin,9574,151,690,151,841
14-Feb-21,Probable cases,761,761,,2/15/2021,2/1/2021,confirmed plus probable cases,Wisconsin,9574,57,489,57,546
13-Feb-21,Probable cases,775,775,,2/14/2021,1/31/2021,confirmed plus probable cases,Wisconsin,9574,86,466,86,552
12-Feb-21,Probable cases,794,794,,2/13/2021,1/30/2021,confirmed plus probable cases,Wisconsin,9574,107,572,107,679
11-Feb-21,Probable cases,836,836,,2/12/2021,1/29/2021,confirmed plus probable cases,Wisconsin,9574,107,589,107,696
10-Feb-21,Probable cases,876,876,,2/11/2021,1/28/2021,confirmed plus probable cases,Wisconsin,9574,111,835,111,946
9-Feb-21,Probable cases,907,907,,2/10/2021,1/27/2021,confirmed plus probable cases,Wisconsin,9574,133,794,133,927
