Day of Epi Dt,Measure Names,7 Day Average (conf+prob) (TT),7 Day Average (conf+prob),7 Day Average (conf+prob),Prelim end date,Prelim start date,7 Day Average (TT Text),County Parameter Cum Curve,Max. Window Max Daily Cases,Measure Values,Confirmed Cases By Epi Dt,Probable By Epi Dt,Stacked Confirm + Probable cases
28-Jan-21,Probable cases,861,861,,1/29/2021,1/15/2021,confirmed plus probable cases,Wisconsin,9604,50,98,50,148
27-Jan-21,Probable cases,1069,1069,,1/28/2021,1/14/2021,confirmed plus probable cases,Wisconsin,9604,148,518,148,666
26-Jan-21,Probable cases,1218,1218,,1/27/2021,1/13/2021,confirmed plus probable cases,Wisconsin,9604,127,683,127,810
25-Jan-21,Probable cases,1382,1382,,1/26/2021,1/12/2021,confirmed plus probable cases,Wisconsin,9604,203,1090,203,1293
24-Jan-21,Probable cases,1489,1489,,1/25/2021,1/11/2021,confirmed plus probable cases,Wisconsin,9604,110,657,110,767
23-Jan-21,Probable cases,1563,1563,,1/24/2021,1/10/2021,confirmed plus probable cases,Wisconsin,9604,134,834,134,968
22-Jan-21,Probable cases,1633,1633,,1/23/2021,1/9/2021,confirmed plus probable cases,Wisconsin,9604,220,1160,220,1380
21-Jan-21,Probable cases,1712,1712,,1/22/2021,1/8/2021,confirmed plus probable cases,Wisconsin,9604,292,1313,292,1605
20-Jan-21,Probable cases,1771,1771,,1/21/2021,1/7/2021,confirmed plus probable cases,Wisconsin,9604,266,1439,266,1705
19-Jan-21,Probable cases,1859,1859,,1/20/2021,1/6/2021,confirmed plus probable cases,Wisconsin,9604,292,1670,292,1962
18-Jan-21,Probable cases,1927,1927,,1/19/2021,1/5/2021,confirmed plus probable cases,Wisconsin,9604,355,1687,355,2042
17-Jan-21,Probable cases,2116,2116,,1/18/2021,1/4/2021,confirmed plus probable cases,Wisconsin,9604,220,1061,220,1281
16-Jan-21,Probable cases,2174,2174,,1/17/2021,1/3/2021,confirmed plus probable cases,Wisconsin,9604,236,1226,236,1462
